GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,107,1,16,1,24,1,14,0,6
parking-system,com.parkit.parkingsystem.service,ParkingService,13,249,2,11,5,66,2,12,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,77,0,6,0,29,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,19,43,4,4,6,13,8,5,4,5
parking-system,com.parkit.parkingsystem.model,Ticket,7,38,0,0,3,16,2,11,2,11
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,43,9,4,0,14,2,5,1,3,1
parking-system,com.parkit.parkingsystem.util,DateConvertUtil,3,20,0,0,1,6,1,3,1,3
parking-system,com.parkit.parkingsystem.util,ClockUtil,0,7,0,0,0,2,0,2,0,2
parking-system,com.parkit.parkingsystem.dao,TicketDAO,290,4,6,0,63,1,10,1,7,1
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,97,4,4,0,24,1,7,1,5,1
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,46,0,4,0,19,0,7,0,5,0
